Accession,Release_Date,Species,Length,Nuc_Completeness,Geo_Location,Host,Isolation_Source,Collection_Date
MT007544,2020-01-31T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,complete,Australia: Victoria,Homo sapiens,,1/25/2020
MT350282,2020-04-17T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,Brazil,Homo sapiens,,3/18/2020
MT126808,2020-03-02T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,complete,Brazil,Homo sapiens,oronasopharynx,2/28/2020
NC_045512,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,China,Homo sapiens,,2019-12
MT039874,2020-04-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,complete,China,Homo sapiens,,1/22/2020
MT226610,2020-03-20T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,complete,China,Homo sapiens,oronasopharynx,1/20/2020
MT093631,2020-02-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,complete,China,Homo sapiens,oronasopharynx,1/8/2020
MN988668,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29881,complete,China,Homo sapiens,,1/2/2020
MN988669,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29881,complete,China,Homo sapiens,,1/2/2020
MN975262,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,complete,China,Homo sapiens,"lung, oronasopharynx",1/11/2020
MN908947,2020-01-12T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,China,Homo sapiens,,2019-12
MT281577,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,"China: Anhui, Fuyang",Homo sapiens,feces,3/10/2020
MT291831,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,complete,China: Beijing,Homo sapiens,oronasopharynx,1/24/2020
MT291832,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29828,complete,China: Beijing,Homo sapiens,oronasopharynx,1/25/2020
MT291833,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29821,complete,China: Beijing,Homo sapiens,oronasopharynx,1/28/2020
MT291834,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,complete,China: Beijing,Homo sapiens,oronasopharynx,1/28/2020
MT291835,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,complete,China: Beijing,Homo sapiens,oronasopharynx,1/27/2020
MT291836,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,complete,China: Beijing,Homo sapiens,oronasopharynx,1/29/2020
MT135041,2020-03-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,China: Beijing,Homo sapiens,,1/26/2020
MT135042,2020-03-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,China: Beijing,Homo sapiens,,1/28/2020
MT135043,2020-03-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,China: Beijing,Homo sapiens,,1/28/2020
MT135044,2020-03-04T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,complete,China: Beijing,Homo sapiens,,1/28/2020
MT123290,2020-02-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29891,complete,"China: Guangdong, Guangzhou",Homo sapiens,oronasopharynx,2/5/2020
MT123291,2020-02-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,complete,China: Guangzhou,Homo sapiens,lung,1/29/2020
MT123292,2020-02-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29923,complete,China: Guangzhou,Homo sapiens,"lung, oronasopharynx",1/27/2020
MT123293,2020-02-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29871,complete,China: Guangzhou,Homo sapiens,feces,1/29/2020
MT039873,2020-02-11T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29833,complete,China: Hangzhou,Homo sapiens,"lung, oronasopharynx",1/20/2020
MT259226,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,complete,"China: Hubei, Wuhan",Homo sapiens,oronasopharynx,1/10/2020
MT259227,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29863,complete,"China: Hubei, Wuhan",Homo sapiens,oronasopharynx,1/26/2020
MT259228,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,complete,"China: Hubei, Wuhan",Homo sapiens,oronasopharynx,1/26/2020
MT259229,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,complete,"China: Hubei, Wuhan",Homo sapiens,oronasopharynx,1/26/2020
MT259230,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29866,complete,"China: Hubei, Wuhan",Homo sapiens,oronasopharynx,1/25/2020
MT259231,2020-03-30T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29865,complete,"China: Hubei, Wuhan",Homo sapiens,oronasopharynx,1/25/2020
MT019529,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,complete,"China: Hubei, Wuhan",Homo sapiens,lung,12/23/2019
MT019530,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29889,complete,"China: Hubei, Wuhan",Homo sapiens,lung,12/30/2019
MT019531,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,complete,"China: Hubei, Wuhan",Homo sapiens,lung,12/30/2019
MT019532,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29890,complete,"China: Hubei, Wuhan",Homo sapiens,lung,12/30/2019
MT019533,2020-02-05T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29883,complete,"China: Hubei, Wuhan",Homo sapiens,lung,1/1/2020
MT121215,2020-03-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29945,complete,China: Shanghai,Homo sapiens,oronasopharynx,2/2/2020
MN938384,2020-01-24T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29838,complete,China: Shenzhen,Homo sapiens,oronasopharynx,1/10/2020
MT291826,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29807,complete,China: Wuhan,Homo sapiens,lung,12/30/2019
MT291827,2020-04-06T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29858,complete,China: Wuhan,Homo sapiens,lung,12/30/2019
